Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
AdamW,22,3,19,3,33,17,0.005486627220946831,63,0.039740607142448425
AdamW,24,2,24,1,50,25,0.005466426456688682,127,0.0514795258641243
Nadam,21,2,17,3,41,28,0.009988619264793762,99,0.04390838369727135
RMSprop,32,1,31,3,33,32,0.009013131903468941,78,0.07403424382209778
Nadam,23,1,18,2,55,30,0.0013484277757789113,106,0.06858903169631958
Adamax,31,2,20,3,51,16,0.009085821738537404,88,0.03676534444093704
AdamW,17,2,16,3,58,31,0.008729205068396235,32,0.06627406924962997
Adamax,21,1,17,2,32,23,0.003883701128582477,119,0.0956004410982132
Adagrad,25,3,26,1,50,20,0.000824185477434425,75,1.1065542697906494
SGD,23,3,24,2,33,17,0.004010231825681889,67,0.2571336030960083
SGD,19,2,28,2,56,25,0.007489091516612796,74,0.21418225765228271
Ftrl,27,1,23,3,48,16,0.00020550645358343957,85,2.3024301528930664
Nadam,26,2,20,3,55,26,0.007450672872787972,39,0.05098176375031471
Adagrad,16,2,31,3,59,18,0.005064788836569304,96,0.167527437210083
Adadelta,18,3,16,2,35,26,0.0045547687685955325,65,1.860476016998291
RMSprop,22,3,18,2,36,31,0.007842899342366814,82,0.05105891078710556
Ftrl,27,3,22,1,47,28,0.008558223720897668,76,2.301192283630371
Adam,20,2,31,3,49,26,0.006392416370981107,51,0.04314517229795456
Adafactor,31,3,21,1,45,28,0.008260555296691268,122,nan
Adamax,16,3,19,2,51,23,0.008628221918758618,123,0.03429267555475235
Nadam,30,2,31,1,60,18,0.008279865220615577,103,0.0467490628361702
SGD,32,2,24,1,41,19,0.0015534291435376497,43,0.5320998430252075
Ftrl,22,3,24,2,44,16,0.00867510916401343,55,2.3011889457702637
Adagrad,22,1,23,1,56,27,0.0012172316685308527,127,1.2044979333877563
Adamax,16,3,26,2,61,32,0.00398182373850993,57,0.030681835487484932
Nadam,22,1,17,3,33,31,0.003985881303196048,98,0.054528553038835526
Adadelta,23,1,23,1,42,21,0.0018338597490561899,56,2.256208896636963
Adagrad,29,2,31,2,35,30,0.004733718872876484,66,0.199702650308609
Adagrad,23,2,18,1,33,18,0.006555270330849158,50,0.2820661664009094
Ftrl,26,1,27,2,40,16,0.008397963967155902,97,2.301194190979004
Ftrl,29,1,18,3,51,21,0.0015170068978037003,82,2.3017632961273193
SGD,29,3,23,3,60,17,0.008350828317330304,122,0.20556560158729553
Adagrad,32,3,26,1,38,29,0.007513647188248386,50,0.1538849174976349
SGD,24,1,29,1,36,16,0.00313105810550007,90,0.8085072040557861
RMSprop,32,1,19,1,57,19,0.008029761182787828,44,0.34507298469543457
SGD,32,1,16,2,53,18,0.008977011466741035,98,0.28770387172698975
AdamW,28,2,25,1,37,18,0.0013958086696275024,67,0.060734521597623825
SGD,24,1,21,2,63,24,0.0005440101617975881,81,2.1597859859466553
Nadam,32,2,27,1,51,16,0.0061100023856582525,106,0.043486349284648895
Adagrad,29,2,30,3,34,21,0.005757903999004255,125,0.1775262951850891
Ftrl,31,2,31,2,34,30,0.002964758722042304,81,2.301421880722046
Adam,28,2,27,1,47,27,0.007416222576727702,65,0.05767359212040901
Ftrl,25,1,22,3,51,31,0.004141213726008539,109,2.301321029663086
Adamax,17,1,27,3,46,31,0.006488248988942541,92,0.053625695407390594
Adafactor,29,3,25,1,39,32,0.009685747864264009,67,nan
Nadam,16,3,28,1,35,29,0.0012376920091043198,47,0.042292408645153046
RMSprop,28,2,20,2,47,32,0.00970722782328353,73,0.06816183775663376
Adagrad,27,2,20,2,37,20,0.0065842499683174,74,0.19215473532676697
Nadam,32,3,29,2,62,18,0.007783353806734827,115,0.03205161914229393
Adadelta,18,1,18,2,60,29,0.00012286738010966467,126,2.2938694953918457
SGD,16,1,28,2,36,22,0.0037031269589445992,119,0.48513081669807434
Adafactor,19,3,21,2,52,32,0.002305412480892461,118,nan
Nadam,18,3,30,3,38,25,0.002951928477902124,116,0.02969076670706272
Adam,28,2,31,1,50,23,0.0009258969587514732,90,0.06270728260278702
Adafactor,30,1,26,2,34,19,0.004434669487278324,93,nan
Adagrad,30,3,32,1,58,18,0.009958617063002188,63,0.1516229212284088
Adamax,17,3,31,1,63,29,0.005254801083811299,118,0.03800386190414429
AdamW,20,2,19,3,46,18,0.0028651925193314805,89,0.04256293550133705
Adadelta,30,3,27,2,46,22,0.0015368421915049999,110,2.2236969470977783
